Name,Club,Games,Tries,Try Assists,Points,Possessions,Runs,Run Metres,Pick & Drives,Linebreaks,LB Assists,Tackle Busts,Offloads,Passes,Lineout Wins Own,Lineout Wins Opp,Kicks,Kick Metres,Kick Errors
Hyron Andrews,SHA,7,1,0,5,26,7,68,0,2,0,0,0,30,17,3,0,0,0
Craig Burden,SHA,7,0,0,0,13,4,13,1,0,0,1,1,6,0,0,0,0,0
Jock Campbell,RED,7,1,2,32,74,35,412,0,8,4,17,2,21,0,0,14,398,2
Matt Duffie,BLU,7,0,2,0,60,32,243,1,2,2,4,3,20,0,0,5,84,1
Andre Esterhuizen,SHA,7,2,2,10,84,40,284,0,2,4,13,4,31,0,0,9,285,0
TJ Faiane,BLU,7,0,5,0,98,45,278,1,4,3,8,4,49,0,0,5,76,1
Aphelele Fassi,SHA,7,3,2,15,116,55,619,0,8,0,22,3,21,0,0,29,964,0
Isaac Lucas,RED,7,2,3,10,121,30,177,0,4,4,9,3,79,0,0,11,490,0
Alex Mafi,RED,7,1,0,5,65,36,222,1,3,1,4,2,25,0,0,0,0,0
Sione Mafileo,BLU,7,0,0,0,22,16,50,2,0,0,1,0,5,0,0,0,0,0
Tate McDermott,RED,7,5,4,25,361,22,127,0,3,6,7,2,321,0,0,12,258,1
Ox Nche,SHA,7,0,1,0,40,24,121,2,0,2,4,3,18,0,0,0,0,0
Sam Nock,BLU,7,0,0,0,286,11,113,1,1,1,2,4,266,0,0,11,349,1
Sanele Nohamba,SHA,7,1,0,10,206,10,90,0,2,1,2,1,167,0,0,22,430,1
Sikhumbuzo Notshe,SHA,7,1,1,5,78,50,345,4,5,2,17,3,24,3,0,1,0,0
Stephen Perofeta,BLU,7,2,3,21,188,51,353,1,4,8,17,3,106,0,0,31,1081,2
Harry Plummer,BLU,7,0,0,10,51,12,73,0,0,1,5,0,23,0,0,12,318,2
Le Roux Roets,SHA,7,0,0,0,19,16,60,2,0,0,2,2,5,2,0,0,0,0
Jonathan Ruru,BLU,7,0,1,0,276,16,49,2,0,2,3,4,231,0,0,23,506,2
Lukhan Salakaia-Loto,RED,7,2,0,10,71,52,279,3,6,1,9,9,36,18,2,0,0,0
