Name,Club,Games,Tries,Try Assists,Points,Possessions,Runs,Run Metres,Pick & Drives,Linebreaks,LB Assists,Tackle Busts,Offloads,Passes,Lineout Wins Own,Lineout Wins Opp,Kicks,Kick Metres,Kick Errors
Hyron Andrews,Sharks,7,1,0,5,26,7,68,0,2,0,0,0,30,17,3,0,0,0
Craig Burden,Sharks,7,0,0,0,13,4,13,1,0,0,1,1,6,0,0,0,0,0
Jock Campbell,Reds,7,1,2,32,74,35,412,0,8,4,17,2,21,0,0,14,398,2
Matt Duffie,Blues,7,0,2,0,60,32,243,1,2,2,4,3,20,0,0,5,84,1
Andre Esterhuizen,Sharks,7,2,2,10,84,40,284,0,2,4,13,4,31,0,0,9,285,0
TJ Faiane,Blues,7,0,5,0,98,45,278,1,4,3,8,4,49,0,0,5,76,1
Aphelele Fassi,Sharks,7,3,2,15,116,55,619,0,8,0,22,3,21,0,0,29,964,0
Isaac Lucas,Reds,7,2,3,10,121,30,177,0,4,4,9,3,79,0,0,11,490,0
Alex Mafi,Reds,7,1,0,5,65,36,222,1,3,1,4,2,25,0,0,0,0,0
Sione Mafileo,Blues,7,0,0,0,22,16,50,2,0,0,1,0,5,0,0,0,0,0
Tate McDermott,Reds,7,5,4,25,361,22,127,0,3,6,7,2,321,0,0,12,258,1
Ox Nche,Sharks,7,0,1,0,40,24,121,2,0,2,4,3,18,0,0,0,0,0
Sam Nock,Blues,7,0,0,0,286,11,113,1,1,1,2,4,266,0,0,11,349,1
Sanele Nohamba,Sharks,7,1,0,10,206,10,90,0,2,1,2,1,167,0,0,22,430,1
Sikhumbuzo Notshe,Sharks,7,1,1,5,78,50,345,4,5,2,17,3,24,3,0,1,0,0
Stephen Perofeta,Blues,7,2,3,21,188,51,353,1,4,8,17,3,106,0,0,31,1081,2
Harry Plummer,Blues,7,0,0,10,51,12,73,0,0,1,5,0,23,0,0,12,318,2
Le Roux Roets,Sharks,7,0,0,0,19,16,60,2,0,0,2,2,5,2,0,0,0,0
Jonathan Ruru,Blues,7,0,1,0,276,16,49,2,0,2,3,4,231,0,0,23,506,2
Lukhan Salakaia-Loto,Reds,7,2,0,10,71,52,279,3,6,1,9,9,36,18,2,0,0,0
Louis Schreuder,Sharks,7,0,1,0,251,1,13,0,0,3,0,0,218,0,0,29,573,1
Henry Speight,Reds,7,3,4,15,75,51,512,0,6,2,11,8,21,0,0,2,51,0
Hamish Stewart,Reds,7,1,0,5,78,35,286,0,3,6,2,2,32,0,0,8,263,0
Mark Telea,Blues,7,5,1,25,91,64,729,4,5,1,47,7,23,0,0,0,0,0
Taniela Tupou,Reds,7,3,2,15,56,35,194,6,7,3,12,4,18,0,0,0,0,0
Ruben Van Heerden,Sharks,7,0,0,0,54,37,163,2,0,0,7,1,21,16,0,0,0,0
Kerron van Vuuren,Sharks,7,2,1,10,31,19,94,1,1,0,3,2,12,0,0,0,0,0
Harry Wilson,Reds,7,2,1,10,138,88,486,11,6,2,11,11,52,2,0,3,51,1
Liam Wright,Reds,7,3,0,15,61,36,153,5,1,2,7,5,26,4,0,0,0,0
Naitoa Ah Kuoi,Chiefs,6,0,0,0,20,15,50,3,0,0,2,2,9,3,2,0,0,0
Allan Ala'alatoa,Brumbies,6,0,2,0,54,31,121,1,1,2,3,1,20,0,0,0,0,0
Lukhanyo Am,Sharks,6,1,1,5,53,20,161,0,0,0,9,3,26,0,0,3,101,0
Vince Aso,Hurricanes,6,1,3,5,53,21,186,1,3,6,6,7,29,0,0,3,162,0
Asafo Aumua,Hurricanes,6,1,1,5,35,26,204,1,2,1,9,2,8,0,0,0,0,0
Tom Banks,Brumbies,6,4,3,22,88,52,489,0,7,3,13,3,25,0,0,3,95,0
Kurtley Beale,Waratahs,6,1,2,5,145,37,393,0,4,6,7,4,76,0,0,25,996,0
Angus Bell,Waratahs,6,1,0,5,44,29,171,1,3,1,5,2,12,0,0,0,0,0
