Name,Club,Games,Turnovers,Handling Errors,Penalties Conceded,Yellow Cards,Red Cards,Tackles,Missed Tackles,Ineffective Tackles,Tackle Efficiency %,Pilfers,Forced Penalties,Forced Ruck & Maul Penalties
Hyron Andrews,Sharks,7,1,1,3,0,0,41,4,2,87,0,0,0
Craig Burden,Sharks,7,3,1,5,0,0,11,1,2,78,0,0,0
Jock Campbell,Reds,7,5,4,0,0,0,17,6,3,65,0,0,0
Matt Duffie,Blues,7,6,6,3,0,0,11,2,2,73,0,0,0
Andre Esterhuizen,Sharks,7,6,5,1,0,0,52,6,7,80,0,2,2
TJ Faiane,Blues,7,3,2,3,0,0,46,2,7,83,0,0,0
Aphelele Fassi,Sharks,7,9,10,4,1,0,23,10,4,62,0,0,0
Isaac Lucas,Reds,7,1,0,0,0,0,12,4,1,70,0,0,0
Alex Mafi,Reds,7,7,3,3,0,0,60,6,3,86,0,1,1
Sione Mafileo,Blues,7,1,1,5,0,0,24,2,0,92,0,0,0
Tate McDermott,Reds,7,2,1,1,0,0,20,3,4,74,0,0,0
Ox Nche,Sharks,7,1,2,5,0,0,35,3,1,89,0,1,1
Sam Nock,Blues,7,1,0,1,0,0,19,3,4,73,0,0,0
Sanele Nohamba,Sharks,7,6,4,0,0,0,11,3,3,64,0,0,0
Sikhumbuzo Notshe,Sharks,7,6,5,3,0,0,58,4,4,87,0,1,1
Stephen Perofeta,Blues,7,4,6,1,0,0,21,10,3,61,0,0,0
Harry Plummer,Blues,7,2,2,0,0,0,12,4,0,75,0,0,0
Le Roux Roets,Sharks,7,1,1,1,0,0,9,1,1,81,0,0,0
Jonathan Ruru,Blues,7,4,6,3,1,0,25,3,4,78,0,0,0
Lukhan Salakaia-Loto,Reds,7,2,2,6,0,0,38,10,1,77,0,0,0
Louis Schreuder,Sharks,7,1,2,4,0,0,17,5,1,73,0,0,0
Henry Speight,Reds,7,5,4,3,0,0,37,11,2,74,0,0,0
Hamish Stewart,Reds,7,3,4,1,0,0,63,7,6,82,0,0,0
Mark Telea,Blues,7,8,6,1,1,0,25,2,2,86,0,1,1
Taniela Tupou,Reds,7,4,3,10,1,0,37,7,1,82,0,0,0
Ruben Van Heerden,Sharks,7,3,2,3,0,0,45,0,0,100,0,0,0
Kerron van Vuuren,Sharks,7,6,5,5,1,0,47,1,2,94,0,0,0
Harry Wilson,Reds,7,8,8,4,0,0,51,8,4,80,0,0,0
Liam Wright,Reds,7,3,3,5,1,0,88,10,1,88,0,4,4
Naitoa Ah Kuoi,Chiefs,6,2,1,2,0,0,35,1,3,89,0,0,0
Allan Ala'alatoa,Brumbies,6,4,4,4,0,0,66,5,1,91,0,0,0
Lukhanyo Am,Sharks,6,4,4,6,0,0,25,4,7,69,1,3,3
Vince Aso,Hurricanes,6,2,2,3,0,0,24,5,1,80,0,0,0
Asafo Aumua,Hurricanes,6,3,1,0,0,0,28,7,2,75,0,0,0
Tom Banks,Brumbies,6,2,2,3,0,0,10,1,1,83,0,0,0
Kurtley Beale,Waratahs,6,8,8,0,0,0,13,6,1,65,0,0,0
Angus Bell,Waratahs,6,0,0,5,0,0,38,4,1,88,0,1,1
Angus Blyth,Reds,6,2,0,5,0,0,27,8,1,75,0,0,0
Emiliano Boffelli,Jaguares,6,7,6,0,0,0,12,0,3,80,0,0,0
Curwin Bosch,Sharks,6,5,5,2,0,0,7,10,3,35,0,0,0
George Bower,Crusaders,6,1,1,1,0,0,33,5,0,86,0,0,0
