Name,Club,Games,Conversions,Conversion Attempts,Penalty Goals,Penalty Goal Attempts,Goal Kicking %,Drop Goals,Drop Goal Attempts,Drop Goal %,Points,Kicks,Kick Metres,Kick Errors
Hyron Andrews,Sharks,7,0,0,0,0,-,0,0,-,5,0,0,0
Craig Burden,Sharks,7,0,0,0,0,-,0,0,-,0,0,0,0
Jock Campbell,Reds,7,9,18,3,3,57,0,0,-,32,14,398,2
Matt Duffie,Blues,7,0,0,0,0,-,0,0,-,0,5,84,1
Andre Esterhuizen,Sharks,7,0,0,0,0,-,0,0,-,10,9,285,0
TJ Faiane,Blues,7,0,0,0,0,-,0,0,-,0,5,76,1
Aphelele Fassi,Sharks,7,0,0,0,0,-,0,0,-,15,29,964,0
Isaac Lucas,Reds,7,0,0,0,0,-,0,0,-,10,11,490,0
Alex Mafi,Reds,7,0,0,0,0,-,0,0,-,5,0,0,0
Sione Mafileo,Blues,7,0,0,0,0,-,0,0,-,0,0,0,0
Tate McDermott,Reds,7,0,0,0,0,-,0,0,-,25,12,258,1
Ox Nche,Sharks,7,0,0,0,0,-,0,0,-,0,0,0,0
Sam Nock,Blues,7,0,0,0,0,-,0,0,-,0,11,349,1
Sanele Nohamba,Sharks,7,1,2,1,2,50,0,0,-,10,22,430,1
Sikhumbuzo Notshe,Sharks,7,0,0,0,0,-,0,0,-,5,1,0,0
Stephen Perofeta,Blues,7,4,8,1,4,41,0,0,-,21,31,1081,2
Harry Plummer,Blues,7,2,3,2,3,66,0,0,-,10,12,318,2
Le Roux Roets,Sharks,7,0,0,0,0,-,0,0,-,0,0,0,0
Jonathan Ruru,Blues,7,0,0,0,0,-,0,0,-,0,23,506,2
Lukhan Salakaia-Loto,Reds,7,0,0,0,0,-,0,0,-,10,0,0,0
Louis Schreuder,Sharks,7,0,0,0,0,-,0,0,-,0,29,573,1
Henry Speight,Reds,7,0,0,0,0,-,0,0,-,15,2,51,0
Hamish Stewart,Reds,7,0,0,0,0,-,0,0,-,5,8,263,0
Mark Telea,Blues,7,0,0,0,0,-,0,0,-,25,0,0,0
Taniela Tupou,Reds,7,0,0,0,0,-,0,0,-,15,0,0,0
Ruben Van Heerden,Sharks,7,0,0,0,0,-,0,0,-,0,0,0,0
Kerron van Vuuren,Sharks,7,0,0,0,0,-,0,0,-,10,0,0,0
Harry Wilson,Reds,7,0,0,0,0,-,0,0,-,10,3,51,1
Liam Wright,Reds,7,0,0,0,0,-,0,0,-,15,0,0,0
Naitoa Ah Kuoi,Chiefs,6,0,0,0,0,-,0,0,-,0,0,0,0
Allan Ala'alatoa,Brumbies,6,0,0,0,0,-,0,0,-,0,0,0,0
Lukhanyo Am,Sharks,6,0,0,0,0,-,0,0,-,5,3,101,0
Vince Aso,Hurricanes,6,0,0,0,0,-,0,0,-,5,3,162,0
Asafo Aumua,Hurricanes,6,0,0,0,0,-,0,0,-,5,0,0,0
Tom Banks,Brumbies,6,1,1,0,0,100,0,0,-,22,3,95,0
Kurtley Beale,Waratahs,6,0,2,0,2,0,0,0,-,5,25,996,0
Angus Bell,Waratahs,6,0,0,0,0,-,0,0,-,5,0,0,0
Angus Blyth,Reds,6,0,0,0,0,-,0,0,-,0,0,0,0
Emiliano Boffelli,Jaguares,6,0,1,0,0,0,0,0,-,15,5,240,0
Curwin Bosch,Sharks,6,15,22,16,19,75,1,1,100,86,58,1834,1
George Bower,Crusaders,6,0,0,0,0,-,0,0,-,0,0,0,0
Jaba Bregvadze,Sunwolves,6,0,0,0,0,-,0,0,-,10,1,29,0
Rodrigo Bruni,Jaguares,6,0,0,0,0,-,0,0,-,10,1,30,0
Jan-Henning Campher,Lions,6,0,0,0,0,-,0,0,-,0,0,0,0
Thomas Christie,Crusaders,6,0,0,0,0,-,0,0,-,10,0,0,0
Angus Cottrell,Rebels,6,0,0,0,0,-,0,0,-,10,0,0,0
Jack Dempsey,Waratahs,6,0,0,0,0,-,0,0,-,10,2,67,0
Murray Douglas,Brumbies,6,0,0,0,0,-,0,0,-,0,0,0,0
Thomas du Toit,Sharks,6,0,0,0,0,-,0,0,-,0,0,0,0
Mitchell Dunshea,Crusaders,6,0,0,0,0,-,0,0,-,0,0,0,0
Kurt Eklund,Blues,6,0,0,0,0,-,0,0,-,0,0,0,0
Gareth Evans,Hurricanes,6,0,0,0,0,-,0,0,-,5,1,2,0
Tetera Faulkner,Waratahs,6,0,0,0,0,-,0,0,-,5,0,0,0
Siosaia Fifita,Sunwolves,6,0,0,0,0,-,0,0,-,10,1,28,0
Vaea Fifita,Hurricanes,6,0,0,0,0,-,0,0,-,0,1,26,0
Damien Fitzpatrick,Waratahs,6,0,0,0,0,-,0,0,-,0,0,0,0
Devan Flanders,Hurricanes,6,0,0,0,0,-,0,0,-,0,0,0,0
Lalakai Foketi,Waratahs,6,0,0,0,0,-,0,0,-,5,2,31,0
Warrick Gelant,Bulls,6,0,0,0,0,-,0,0,-,15,29,1202,1
Blake Gibson,Blues,6,0,0,0,0,-,0,0,-,5,1,19,0
Lizo Gqoboka,Bulls,6,0,0,0,0,-,0,0,-,0,0,0,0
Cullen Grace,Crusaders,6,0,0,0,0,-,0,0,-,0,0,0,0
Tyrone Green,Lions,6,0,0,0,0,-,0,0,-,10,3,109,0
Richard Hardwick,Rebels,6,0,0,0,0,-,0,0,-,5,0,0,0
Will Harrison,Waratahs,6,10,13,3,5,72,0,0,-,29,38,1078,2
Dane Haylett-Petty,Rebels,6,0,0,0,0,-,0,0,-,15,25,1073,1
Ross Haylett-Petty,Rebels,6,0,0,0,0,-,0,0,-,0,0,0,0
Bryce Hegarty,Reds,6,10,13,4,5,77,0,0,-,37,13,419,0
Wiehahn Herbst,Bulls,6,0,0,0,0,-,0,0,-,0,0,0,0
Jed Holloway,Waratahs,6,0,0,0,0,-,0,0,-,0,0,0,0
Michael Hooper,Waratahs,6,0,0,0,0,-,0,0,-,0,1,9,0
Karmichael Hunt,Waratahs,6,0,0,0,0,-,0,0,-,0,7,85,0
Pieter Jansen,Lions,6,0,0,0,0,-,0,0,-,0,0,0,0
Elton Jantjies,Lions,6,8,13,7,9,68,0,0,-,42,49,1793,0
Solomone Kata,Brumbies,6,0,0,0,0,-,0,0,-,25,1,10,0
Andrew Kellaway,Rebels,6,0,0,0,0,-,0,0,-,35,5,138,1
Du'Plessis Kirifi,Hurricanes,6,0,0,0,0,-,0,0,-,0,0,0,0
Steven Kitshoff,Stormers,6,0,0,0,0,-,0,0,-,5,0,0,0
Marika Koroibete,Rebels,6,0,0,0,0,-,0,0,-,10,2,60,0
Johnny Kotze,Bulls,6,0,0,0,0,-,0,0,-,0,2,15,1
Marcos Kremer,Jaguares,6,0,0,0,0,-,0,0,-,5,0,0,0
Daniel Kriel,Lions,6,0,0,0,0,-,0,0,-,10,1,27,0
Tevita Kuridrani,Brumbies,6,0,0,0,0,-,0,0,-,5,3,59,1
Ben Lam,Hurricanes,6,0,0,0,0,-,0,0,-,25,3,65,1
Ngani Laumape,Hurricanes,6,0,0,0,0,-,0,0,-,10,8,178,0
Rob Leota,Rebels,6,0,0,0,0,-,0,0,-,0,0,0,0
Dillyn Leyds,Stormers,6,0,1,0,0,0,0,0,-,0,8,357,0
Tomas Lezana,Jaguares,6,0,0,0,0,-,0,0,-,0,2,29,0
Noah Lolesio,Brumbies,6,13,22,1,1,60,1,1,100,32,34,953,4
Ryan Lonergan,Brumbies,6,7,7,1,1,100,0,0,-,22,15,456,0
Wilco Louw,Stormers,6,0,0,0,0,-,0,0,-,0,0,0,0
Jack Maddocks,Waratahs,6,0,0,0,0,-,0,0,-,0,11,524,0
Frans Malherbe,Stormers,6,0,0,0,0,-,0,0,-,0,0,0,0
Makazole Mapimpi,Sharks,6,0,0,0,0,-,0,0,-,25,3,85,0
Joe Marchant,Blues,6,0,0,0,0,-,0,0,-,15,3,73,0
Len Massyn,Lions,6,0,0,0,0,-,0,0,-,0,1,35,0
Connal McInerney,Brumbies,6,0,0,0,0,-,0,0,-,0,0,0,0
Bill Meakes,Rebels,6,0,0,0,0,-,0,0,-,5,2,53,0
John-Hubert Meyer,Sharks,6,0,0,0,0,-,0,0,-,0,0,0,0
