Year,Location,Gender,Position,Name,Nationality,Continent,Time_Taken,Notes
1912,Stockholm,Men,1,"Hannes Kolehmainen",Finland,Europe,14:36.6,WR
1912,Stockholm,Men,2,"Jean Bouin",France,Europe,14:36.7,""
1912,Stockholm,Men,3,"George Hutson","Great Britain",Europe,15:07.6,""
1912,Stockholm,Men,4,"George Bonhag","United States","North America",15:09.8,""
1912,Stockholm,Men,5,"Tell Berna","United States","North America",15:10.0,""
1912,Stockholm,Men,7,"Mauritz Carlsson",Sweden,Europe,15:18.6,""
1920,Antwerp,Men,1,"Joseph Guillemot",France,Europe,14:55.6,""
1920,Antwerp,Men,2,"Paavo Nurmi",Finland,Europe,15:00.0,""
1920,Antwerp,Men,3,"Eric Backman",Sweden,Europe,15:13.0,""
1920,Antwerp,Men,4,"Teodor Koskenniemi",Finland,Europe,15:17.0,""
1920,Antwerp,Men,5,"Joe Blewitt","Great Britain",Europe,15:19.0,""
1920,Antwerp,Men,6,"William Seagrove","Great Britain",Europe,15:21.0,""
1920,Antwerp,Men,7,"Carlo Speroni",Italy,Europe,15:21.2,""
1920,Antwerp,Men,8,"Alfred Nichols","Great Britain",Europe,15:24.0,""
1920,Antwerp,Men,9,"Julien Van Campenhout",Belgium,Europe,15:25.0,""
1920,Antwerp,Men,10,"Nils Bergström",Sweden,Europe,15:29.5,""
1924,Paris,Men,1,"Paavo Nurmi",Finland,Europe,14:31.2,OR
1924,Paris,Men,2,"Ville Ritola",Finland,Europe,14:31.4,""
1924,Paris,Men,3,"Edvin Wide",Sweden,Europe,15:01.8,""
1924,Paris,Men,4,"John Romig","United States","North America",15:12.4,""
1924,Paris,Men,5,"Eino Seppälä",Finland,Europe,15:18.4,""
1924,Paris,Men,6,"Charles Clibbon","Great Britain",Europe,15:29.0,""
1924,Paris,Men,7,"Lucien Dolques",France,Europe,15:32.6,""
1924,Paris,Men,8,"Axel Eriksson",Sweden,Europe,15:38.0,""
1924,Paris,Men,9,"Léonard Mascaux",France,Europe,15:39.0,""
1924,Paris,Men,10,"Frank Saunders","Great Britain",Europe,15:54.0,""
1928,Amsterdam,Men,1,"Ville Ritola",Finland,Europe,14:38.0,""
1928,Amsterdam,Men,2,"Paavo Nurmi",Finland,Europe,14:40.0,""
1928,Amsterdam,Men,3,"Edvin Wide",Sweden,Europe,14:41.2,""
1928,Amsterdam,Men,4,"Leo Lermond","United States","North America",14:50.0,""
1928,Amsterdam,Men,5,"Ragnar Magnusson",Sweden,Europe,14:59.6,""
1928,Amsterdam,Men,6,"Armas Kinnunen",Finland,Europe,15:02.0,""
1932,"Los Angeles",Men,1,"Lauri Lehtinen",Finland,Europe,14:30.0,OR
1932,"Los Angeles",Men,2,"Ralph Hill","United States","North America",14:30.0,""
1932,"Los Angeles",Men,3,"Lauri Virtanen",Finland,Europe,14:44.0,""
1932,"Los Angeles",Men,4,"Billy Savidan","New Zealand",Oceania,14:49.6,""
1932,"Los Angeles",Men,5,"Jean-Gunnar Lindgren",Sweden,Europe,14:54.7,""
1932,"Los Angeles",Men,6,"Max Syring",Germany,Europe,14:59.0,""
1932,"Los Angeles",Men,7,"Alec Burns","Great Britain",Europe,15:04.4,""
1932,"Los Angeles",Men,8,"Daniel Dean","United States","North America",15:08.5,""
1932,"Los Angeles",Men,9,"Erik Pettersson",Sweden,Europe,15:13.4,""
1932,"Los Angeles",Men,10,"Alex Hillhouse",Australia,Oceania,15:15.0,""
1932,"Los Angeles",Men,11,"Scotty Rankine",Canada,"North America",15:24.0,""
1932,"Los Angeles",Men,12,"Shoichiro Takenaka",Japan,Asia,17:20.0,""
1936,Berlin,Men,1,"Gunnar Höckert",Finland,Europe,14:22.2,OR
1936,Berlin,Men,2,"Lauri Lehtinen",Finland,Europe,14:25.8,""
1936,Berlin,Men,3,"Henry Jonsson",Sweden,Europe,14:29.0,""
1936,Berlin,Men,4,"Kohei Murakoso",Japan,Asia,14:30.0,""
1936,Berlin,Men,5,"Józef Noji",Poland,Europe,14:33.4,""
1936,Berlin,Men,6,"Ilmari Salminen",Finland,Europe,14:39.8,""
