Year,Location,Gender,Position,Name,Nationality,Continent,Time_Taken,Notes
1896,Athens,Men,1,"Spyridon Louis",Greece,Europe,2:58:50,OR
1896,Athens,Men,2,"Charilaos Vasilakos",Greece,Europe,3:06:03,""
1896,Athens,Men,3,"Gyula Kellner",Hungary,Europe,3:06:35,""
1900,Paris,Men,1,"Michel Théato",France,Europe,2:59:45,""
1900,Paris,Men,2,"Émile Champion",France,Europe,3:04:17,""
1900,Paris,Men,3,"Ernst Fast",Sweden,Europe,3:37:14,""
1900,Paris,Men,4,"Eugène Besse",France,Europe,4:00:43,""
1900,Paris,Men,5,"Arthur Newton","United States","North America",4:04:12,""
1904,"St. Louis",Men,1,"Thomas Hicks","United States","North America",3:28:53,""
1904,"St. Louis",Men,2,"Albert Corey",France,Europe,3:34:52,""
1904,"St. Louis",Men,3,"Arthur Newton","United States","North America",3:47:33,""
1908,London,Men,1,"Johnny Hayes","United States","North America",2:55:18.4,WR
1908,London,Men,2,"Charles Hefferon","South Africa",Africa,2:56:06.0,""
1908,London,Men,3,"Joseph Forshaw","United States","North America",2:57:10.4,""
1908,London,Men,4,"Alton Welton","United States","North America",2:59:44.4,""
1908,London,Men,5,"William Wood",Canada,"North America",3:01:44.0,""
1908,London,Men,6,"Frederick Simpson",Canada,"North America",3:04:28.2,""
1908,London,Men,7,"Harry Lawson",Canada,"North America",3:06:47.2,""
1908,London,Men,8,"John Svanberg",Sweden,Europe,3:07:50.8,""
1908,London,Men,9,"Lewis Tewanima","United States","North America",3:09:15.0,""
1908,London,Men,10,"Kalle Nieminen",Finland,Europe,3:09:50.8,""
1908,London,Men,11,"Jack Caffery",Canada,"North America",3:12:46.0,""
1908,London,Men,12,"William Clarke","Great Britain",Europe,3:16:08.6,""
1908,London,Men,13,"Ernest Barnes","Great Britain",Europe,3:17:30.8,""
1908,London,Men,14,"Sidney Hatch","United States","North America",3:17:52.4,""
1908,London,Men,15,"Frederick Lord","Great Britain",Europe,3:19:08.8,""
1908,London,Men,16,"William Goldsboro",Canada,"North America",3:20:07.0,""
1908,London,Men,17,"James Beale","Great Britain",Europe,3:20:14.0,""
1908,London,Men,18,"Arnošt Nejedlý",Bohemia,Europe,3:26:26.2,""
1908,London,Men,20,"Willem Wakker",Netherlands,Europe,3:28:49.0,""
1908,London,Men,21,"Gustaf Törnros",Sweden,Europe,3:30:20.8,""
1908,London,Men,22,"George Goulding",Canada,"North America",3:33:26.4,""
1908,London,Men,23,"Julius Jørgensen",Denmark,Europe,3:47:44.0,""
1908,London,Men,24,"Arthur Burn",Canada,"North America",3:50:17.0,""
1908,London,Men,25,"Emmerich Rath",Austria,Europe,3:50:30.4,""
1908,London,Men,26,"Rudy Hansen",Denmark,Europe,3:53:15.0,""
1908,London,Men,27,"George Lister",Canada,"North America",4:22:45.0,""
1912,Stockholm,Men,1,"Ken McArthur","South Africa",Africa,2:36:54.8,OR
1912,Stockholm,Men,2,"Christian Gitsham","South Africa",Africa,2:37:52.0,""
1912,Stockholm,Men,3,"Gaston Strobino","United States","North America",2:38:42.4,""
1912,Stockholm,Men,4,"Andrew Sockalexis","United States","North America",2:42:07.9,""
1912,Stockholm,Men,5,"James Duffy",Canada,"North America",2:42:18.8,""
1912,Stockholm,Men,6,"Sigfrid Jacobsson",Sweden,Europe,2:43:24.9,""
1912,Stockholm,Men,7,"John Gallagher","United States","North America",2:44:19.4,""
1912,Stockholm,Men,8,"Joseph Erxleben","United States","North America",2:45:47.2,""
1912,Stockholm,Men,9,"Richard Piggott","United States","North America",2:46:40.7,""
1912,Stockholm,Men,10,"Joseph Forshaw","United States","North America",2:49:49.4,""
1912,Stockholm,Men,11,"Édouard Fabre",Canada,"North America",2:50:36.2,""
1912,Stockholm,Men,12,"Clarence DeMar","United States","North America",2:50:46.6,""
1912,Stockholm,Men,13,"Renon Boissière",France,Europe,2:51:06.6,""
1912,Stockholm,Men,14,"Henry Green","Great Britain",Europe,2:52:11.4,""
1912,Stockholm,Men,15,"William Forsyth",Canada,"North America",2:52:23.0,""
1912,Stockholm,Men,16,"Lewis Tewanima","United States","North America",2:52:41.4,""
1912,Stockholm,Men,17,"Harry Smith","United States","North America",2:52:53.8,""
1912,Stockholm,Men,18,"Thomas Lilley","United States","North America",2:59:35.4,""
1912,Stockholm,Men,19,"Arthur Townsend","Great Britain",Europe,3:00:05.0,""
1912,Stockholm,Men,20,"Felix Kwieton",Austria,Europe,3:00:48.0,""
1912,Stockholm,Men,21,"Frederick Lord","Great Britain",Europe,3:01:39.2,""
1912,Stockholm,Men,22,"Jacob Westberg",Sweden,Europe,3:02:05.2,""
1912,Stockholm,Men,23,"Axel Simonsen",Norway,Europe,3:04:59.4,""
1912,Stockholm,Men,24,"Carl Andersson",Sweden,Europe,3:06:13.0,""
1912,Stockholm,Men,25,"Edgar Lloyd","Great Britain",Europe,3:09:25.0,""
1912,Stockholm,Men,26,"Iraklis Sakellaropoulos",Greece,Europe,3:11:37.0,""
1912,Stockholm,Men,27,"Hjalmar Dahlberg",Sweden,Europe,3:13:32.2,""
1912,Stockholm,Men,28,"Ivar Lundberg",Sweden,Europe,3:16:35.2,""
1912,Stockholm,Men,29,"Johannes Christensen",Denmark,Europe,3:21:57.4,""
1912,Stockholm,Men,30,"Olaf Lodal",Denmark,Europe,3:21:57.6,""
1912,Stockholm,Men,31,"Ödön Kárpáti",Hungary,Europe,3:25:21.6,""
1912,Stockholm,Men,32,"Carl Nilsson",Sweden,Europe,3:26:56.4,""
1912,Stockholm,Men,33,"Emmerich Rath",Austria,Europe,3:27:03.8,""
1912,Stockholm,Men,34,"Otto Osen",Norway,Europe,3:36:35.2,""
1912,Stockholm,Men,36,"Shizo Kanakuri",Japan,Asia,54:08:06:05:32:20.3,""
1920,Antwerp,Men,1,"Hannes Kolehmainen",Finland,Europe,2:32:35.8,WR
1920,Antwerp,Men,2,"Jüri Lossmann",Estonia,Europe,2:32:48.6,""
1920,Antwerp,Men,3,"Valerio Arri",Italy,Europe,2:36:32.8,""
1920,Antwerp,Men,4,"Auguste Broos",Belgium,Europe,2:39:25.8,""
1920,Antwerp,Men,5,"Juho Tuomikoski",Finland,Europe,2:40:18.8,""
1920,Antwerp,Men,6,"Sofus Rose",Denmark,Europe,2:41:18.0,""
1920,Antwerp,Men,7,"Joseph Organ","United States","North America",2:41:30.0,""
1920,Antwerp,Men,8,"Rudolf Hansen",Denmark,Europe,2:41:39.4,""
1920,Antwerp,Men,9,"Urho Tallgren",Finland,Europe,2:42:40.0,""
1920,Antwerp,Men,10,"Tatu Kolehmainen",Finland,Europe,2:44:02.3,""
1920,Antwerp,Men,11,"Carl Linder","United States","North America",2:44:21.2,""
1920,Antwerp,Men,12,"Charles Mellor","United States","North America",2:45:30.0,""
1920,Antwerp,Men,13,"James Dellow",Canada,"North America",2:46:47.0,""
1920,Antwerp,Men,14,"Bobby Mills","Great Britain",Europe,2:48:05.0,""
1920,Antwerp,Men,15,"Arthur Scholes",Canada,"North America",2:48:30.0,""
1920,Antwerp,Men,16,"Shizo Kanakuri",Japan,Asia,2:48:45.4,""
1920,Antwerp,Men,17,"Gustav Kinn",Sweden,Europe,2:49:10.4,""
1920,Antwerp,Men,18,"Albert Moché",France,Europe,2:50:00.2,""
1920,Antwerp,Men,19,"Phadeppa Chaugle",India,Asia,2:50:45.4,""
1920,Antwerp,Men,20,"Zensaku Motegi",Japan,Asia,2:51:09.4,""
1920,Antwerp,Men,21,"Kenzo Yashima",Japan,Asia,2:57:02.0,""
1920,Antwerp,Men,22,"Norman General",Canada,"North America",2:58:01.0,""
1920,Antwerp,Men,23,"Rudolf Wåhlin",Sweden,Europe,2:59:23.0,""
1920,Antwerp,Men,24,"Yahei Miura",Japan,Asia,2:59:37.0,""
1920,Antwerp,Men,25,"Henri Teyssedou",France,Europe,3:00:04.0,""
1920,Antwerp,Men,26,"Hendricus Wessel",Netherlands,Europe,3:00:17.0,""
1920,Antwerp,Men,27,"Charles Melis",Belgium,Europe,3:00:51.0,""
1920,Antwerp,Men,28,"William Grüner",Sweden,Europe,3:01:48.0,""
1920,Antwerp,Men,29,"George Piper","Great Britain",Europe,3:02:10.0,""
1920,Antwerp,Men,30,"Sinton Hewitt",Australia,Oceania,3:03:27.0,""
1920,Antwerp,Men,31,"Leslie Housden","Great Britain",Europe,3:14:25.0,""
1920,Antwerp,Men,32,"Iraklis Sakellaropoulos",Greece,Europe,3:14:25.0,""
1920,Antwerp,Men,33,"Juan Bascuñán",Chile,"South America",3:17:47.0,""
1920,Antwerp,Men,34,"Oscar Blansaer",Belgium,Europe,3:20:00.0,""
1920,Antwerp,Men,35,"Eric Robertson","Great Britain",Europe,3:55:00.0,""
1924,Paris,Men,1,"Albin Stenroos",Finland,Europe,2:41:22.6,""
1924,Paris,Men,2,"Romeo Bertini",Italy,Europe,2:47:19.6,""
1924,Paris,Men,3,"Clarence DeMar","United States","North America",2:48:14.0,""
1924,Paris,Men,4,"Lauri Halonen",Finland,Europe,2:49:47.4,""
1924,Paris,Men,5,"Sam Ferris","Great Britain",Europe,2:52:26.0,""
1924,Paris,Men,6,"Manuel Plaza",Chile,"South America",2:52:54.0,""
1924,Paris,Men,7,"Boughéra El-Ouafi",France,Europe,2:54:19.6,""
1924,Paris,Men,8,"Gustav Kinn",Sweden,Europe,2:54:33.4,""
1924,Paris,Men,9,"Dionisio Carreras",Spain,Europe,2:57:18.4,""
1924,Paris,Men,10,"Jüri Lossman",Estonia,Europe,2:57:54.6,""
1924,Paris,Men,11,"Axel Jensen",Denmark,Europe,2:58:44.8,""
1924,Paris,Men,12,"Jean-Baptiste Manhès",France,Europe,3:00:34.0,""
1924,Paris,Men,13,"John Cuthbert",Canada,"North America",3:00:44.6,""
1924,Paris,Men,14,"Victor McAuley",Canada,"North America",3:02:05.4,""
1924,Paris,Men,15,"Marcel Alavoine",Belgium,Europe,3:03:20.0,""
1924,Paris,Men,16,"Frank Wendling","United States","North America",3:05:09.8,""
1924,Paris,Men,17,"Arthur Farrimond","Great Britain",Europe,3:05:15.0,""
