|   Year | Location       | Gender   |   Position | Name                      | Nationality    | Continent     | Time_Taken   | Notes   | Time                   | Time_Difference        |
|-------:|:---------------|:---------|-----------:|:--------------------------|:---------------|:--------------|:-------------|:--------|:-----------------------|:-----------------------|
|   1896 | Athens         | Men      |          1 | Spyridon Louis            | Greece         | Europe        | 2:58:50      | OR      | 0 days 02:58:50        | NaT                    |
|   1896 | Athens         | Men      |          2 | Charilaos Vasilakos       | Greece         | Europe        | 3:06:03      | -       | 0 days 03:06:03        | 0 days 00:07:13        |
|   1896 | Athens         | Men      |          3 | Gyula Kellner             | Hungary        | Europe        | 3:06:35      | -       | 0 days 03:06:35        | 0 days 00:00:32        |
|   1900 | Paris          | Men      |          1 | Michel Théato             | France         | Europe        | 2:59:45      | -       | 0 days 02:59:45        | NaT                    |
|   1900 | Paris          | Men      |          2 | Émile Champion            | France         | Europe        | 3:04:17      | -       | 0 days 03:04:17        | 0 days 00:04:32        |
|   1900 | Paris          | Men      |          3 | Ernst Fast                | Sweden         | Europe        | 3:37:14      | -       | 0 days 03:37:14        | 0 days 00:32:57        |
|   1904 | St. Louis      | Men      |          1 | Thomas Hicks              | United States  | North America | 3:28:53      | -       | 0 days 03:28:53        | NaT                    |
|   1904 | St. Louis      | Men      |          2 | Albert Corey              | France         | Europe        | 3:34:52      | -       | 0 days 03:34:52        | 0 days 00:05:59        |
|   1904 | St. Louis      | Men      |          3 | Arthur Newton             | United States  | North America | 3:47:33      | -       | 0 days 03:47:33        | NaT                    |
|   1908 | London         | Men      |          1 | Johnny Hayes              | United States  | North America | 2:55:18.4    | WR      | 0 days 02:55:18.400000 | NaT                    |
|   1908 | London         | Men      |          2 | Charles Hefferon          | South Africa   | Africa        | 2:56:06.0    | -       | 0 days 02:56:06        | 0 days 00:00:47.600000 |
|   1908 | London         | Men      |          3 | Joseph Forshaw            | United States  | North America | 2:57:10.4    | -       | 0 days 02:57:10.400000 | NaT                    |
|   1912 | Stockholm      | Men      |          1 | Ken McArthur              | South Africa   | Africa        | 2:36:54.8    | OR      | 0 days 02:36:54.800000 | NaT                    |
|   1912 | Stockholm      | Men      |          2 | Christian Gitsham         | South Africa   | Africa        | 2:37:52.0    | -       | 0 days 02:37:52        | 0 days 00:00:57.200000 |
|   1912 | Stockholm      | Men      |          3 | Gaston Strobino           | United States  | North America | 2:38:42.4    | -       | 0 days 02:38:42.400000 | 0 days 00:00:50.400000 |
|   1920 | Antwerp        | Men      |          1 | Hannes Kolehmainen        | Finland        | Europe        | 2:32:35.8    | WR      | 0 days 02:32:35.800000 | NaT                    |
|   1920 | Antwerp        | Men      |          2 | Jüri Lossmann             | Estonia        | Europe        | 2:32:48.6    | -       | 0 days 02:32:48.600000 | 0 days 00:00:12.800000 |
|   1920 | Antwerp        | Men      |          3 | Valerio Arri              | Italy          | Europe        | 2:36:32.8    | -       | 0 days 02:36:32.800000 | 0 days 00:03:44.200000 |
|   1924 | Paris          | Men      |          1 | Albin Stenroos            | Finland        | Europe        | 2:41:22.6    | -       | 0 days 02:41:22.600000 | NaT                    |
|   1924 | Paris          | Men      |          2 | Romeo Bertini             | Italy          | Europe        | 2:47:19.6    | -       | 0 days 02:47:19.600000 | 0 days 00:05:57        |
|   1924 | Paris          | Men      |          3 | Clarence DeMar            | United States  | North America | 2:48:14.0    | -       | 0 days 02:48:14        | 0 days 00:00:54.400000 |
|   1928 | Amsterdam      | Men      |          1 | Boughera El Ouafi         | France         | Europe        | 2:32:57      | -       | 0 days 02:32:57        | NaT                    |
|   1928 | Amsterdam      | Men      |          2 | Manuel Plaza              | Chile          | South America | 2:33:23      | -       | 0 days 02:33:23        | 0 days 00:00:26        |
|   1928 | Amsterdam      | Men      |          3 | Martti Marttelin          | Finland        | Europe        | 2:35:02      | -       | 0 days 02:35:02        | 0 days 00:01:39        |
|   1932 | Los Angeles    | Men      |          1 | Juan Carlos Zabala        | Argentina      | South America | 2:31:36      | OR      | 0 days 02:31:36        | NaT                    |
|   1932 | Los Angeles    | Men      |          2 | Sam Ferris                | Great Britain  | Europe        | 2:31:55      | -       | 0 days 02:31:55        | 0 days 00:00:19        |
|   1932 | Los Angeles    | Men      |          3 | Armas Toivonen            | Finland        | Europe        | 2:32:12      | -       | 0 days 02:32:12        | 0 days 00:00:17        |
|   1936 | Berlin         | Men      |          1 | Kitei Son                 | Japan          | Asia          | 2:29:19.2    | OR      | 0 days 02:29:19.200000 | NaT                    |
|   1936 | Berlin         | Men      |          2 | Ernest Harper             | Great Britain  | Europe        | 2:31:23.2    | -       | 0 days 02:31:23.200000 | 0 days 00:02:04        |
|   1936 | Berlin         | Men      |          3 | Shōryū Nan                | Japan          | Asia          | 2:31:42.0    | -       | 0 days 02:31:42        | 0 days 00:00:18.800000 |
|   1948 | London         | Men      |          1 | Delfo Cabrera             | Argentina      | South America | 2:34:51.6    | -       | 0 days 02:34:51.600000 | NaT                    |
|   1948 | London         | Men      |          2 | Tom Richards              | Great Britain  | Europe        | 2:35:07.6    | -       | 0 days 02:35:07.600000 | 0 days 00:00:16        |
|   1948 | London         | Men      |          3 | Étienne Gailly            | Belgium        | Europe        | 2:35:33.6    | -       | 0 days 02:35:33.600000 | 0 days 00:00:26        |
|   1952 | Helsinki       | Men      |          1 | Emil Zátopek              | Czechoslovakia | Europe        | 2:23:03.2    | OR      | 0 days 02:23:03.200000 | NaT                    |
|   1952 | Helsinki       | Men      |          2 | Reinaldo Gorno            | Argentina      | South America | 2:25:35.0    | -       | 0 days 02:25:35        | 0 days 00:02:31.800000 |
|   1952 | Helsinki       | Men      |          3 | Gustaf Jansson            | Sweden         | Europe        | 2:26:07.0    | -       | 0 days 02:26:07        | 0 days 00:00:32        |
|   1956 | Melbourne      | Men      |          1 | Alain Mimoun              | France         | Europe        | 2:25:00      | -       | 0 days 02:25:00        | NaT                    |
|   1956 | Melbourne      | Men      |          2 | Franjo Mihalić            | Yugoslavia     | Europe        | 2:26:32      | -       | 0 days 02:26:32        | NaT                    |
|   1956 | Melbourne      | Men      |          3 | Veikko Karvonen           | Finland        | Europe        | 2:27:47      | -       | 0 days 02:27:47        | 0 days 00:01:15        |
|   1960 | Rome           | Men      |          1 | Abebe Bikila              | Ethiopia       | Africa        | 2:15:16.2    | WR      | 0 days 02:15:16.200000 | NaT                    |
|   1960 | Rome           | Men      |          2 | Rhadi Ben Abdesselam      | Morocco        | Africa        | 2:15:41.6    | -       | 0 days 02:15:41.600000 | 0 days 00:00:25.400000 |
