1912,Stockholm,1,Hannes Kolehmainen,(FIN),14:36.6,WR
1912,Stockholm,2,Jean Bouin,(FRA),14:36.7,
1912,Stockholm,3,George Hutson,(GBR),15:07.6,
1912,Stockholm,4,George Bonhag,(USA),15:09.8,
1912,Stockholm,5,Tell Berna,(USA),15:10.0,
1912,Stockholm,6,Alex Decoteau,(CAN),,
1912,Stockholm,7,Mauritz Carlsson,(SWE),15:18.6,
1912,Stockholm,8-11,Frederick Hibbins,(GBR),,
1912,Stockholm,—,Ernest Glover,(GBR),Did not start,
1920,Antwerp,1,Joseph Guillemot,(FRA),14:55.6,
1920,Antwerp,2,Paavo Nurmi,(FIN),15:00.0,
1920,Antwerp,3,Eric Backman,(SWE),15:13.0,
1920,Antwerp,4,Teodor Koskenniemi,(FIN),15:17.0,
1920,Antwerp,5,Joe Blewitt,(GBR),15:19.0,
1920,Antwerp,6,William Seagrove,(GBR),15:21.0,
1920,Antwerp,7,Carlo Speroni,(ITA),15:21.2,
1920,Antwerp,8,Alfred Nichols,(GBR),15:24.0,
1920,Antwerp,9,Julien Van Campenhout,(BEL),15:25.0,
1920,Antwerp,10,Nils Bergström,(SWE),15:29.5,
1920,Antwerp,11,Rudolf Falk,(SWE),,
1920,Antwerp,12,Herbert Irwin,(GBR),,
1920,Antwerp,13,Emanuel Lundström,(SWE),,
1920,Antwerp,—,Clifford Furnas,(USA),DNF,
1924,Paris,1,Paavo Nurmi,(FIN),14:31.2,OR
1924,Paris,2,Ville Ritola,(FIN),14:31.4,
1924,Paris,3,Edvin Wide,(SWE),15:01.8,
1924,Paris,4,John Romig,(USA),15:12.4,
1924,Paris,5,Eino Seppälä,(FIN),15:18.4,
1924,Paris,6,Charles Clibbon,(GBR),15:29.0,
1924,Paris,7,Lucien Dolques,(FRA),15:32.6,
1924,Paris,8,Axel Eriksson,(SWE),15:38.0,
1924,Paris,9,Léonard Mascaux,(FRA),15:39.0,
1924,Paris,10,Frank Saunders,(GBR),15:54.0,
1924,Paris,11,Eino Rastas,(FIN),,
1924,Paris,12,Katsuo Okazaki,(JPN),,
1928,Amsterdam,1,Ville Ritola,Finland,14:38.0,
1928,Amsterdam,2,Paavo Nurmi,Finland,14:40.0,
1928,Amsterdam,3,Edvin Wide,Sweden,14:41.2,
1928,Amsterdam,4,Leo Lermond,United States,14:50.0,
1928,Amsterdam,5,Ragnar Magnusson,Sweden,14:59.6,
1928,Amsterdam,6,Armas Kinnunen,Finland,15:02.0,
1928,Amsterdam,7,Staņislavs Petkēvičs,Latvia,,
1928,Amsterdam,8,Herbert Johnston,Great Britain,,
1928,Amsterdam,9,Brian Oddie,Great Britain,,
1928,Amsterdam,10,Macauley Smith,United States,,
1928,Amsterdam,—,Nils Eklöf,Sweden,DNF,
