1912,Stockholm,1,Hannes Kolehmainen,Finland,14:36.6,WR
1912,Stockholm,2,Jean Bouin,France,14:36.7,
1912,Stockholm,3,George Hutson,Great Britain,15:07.6,
1912,Stockholm,4,George Bonhag,United States,15:09.8,
1912,Stockholm,5,Tell Berna,United States,15:10.0,
1912,Stockholm,6,Alex Decoteau,Canada,,
1912,Stockholm,7,Mauritz Carlsson,Sweden,15:18.6,
1912,Stockholm,8-11,Frederick Hibbins,Great Britain,,
1912,Stockholm,—,Ernest Glover,Great Britain,Did not start,
1920,Antwerp,1,Joseph Guillemot,France,14:55.6,
1920,Antwerp,2,Paavo Nurmi,Finland,15:00.0,
1920,Antwerp,3,Eric Backman,Sweden,15:13.0,
1920,Antwerp,4,Teodor Koskenniemi,Finland,15:17.0,
1920,Antwerp,5,Joe Blewitt,Great Britain,15:19.0,
1920,Antwerp,6,William Seagrove,Great Britain,15:21.0,
1920,Antwerp,7,Carlo Speroni,Italy,15:21.2,
1920,Antwerp,8,Alfred Nichols,Great Britain,15:24.0,
1920,Antwerp,9,Julien Van Campenhout,Belgium,15:25.0,
1920,Antwerp,10,Nils Bergström,Sweden,15:29.5,
1920,Antwerp,11,Rudolf Falk,Sweden,,
1920,Antwerp,12,Herbert Irwin,Great Britain,,
1920,Antwerp,13,Emanuel Lundström,Sweden,,
1920,Antwerp,—,Clifford Furnas,United States,DNF,
1924,Paris,1,Paavo Nurmi,Finland,14:31.2,OR
1924,Paris,2,Ville Ritola,Finland,14:31.4,
1924,Paris,3,Edvin Wide,Sweden,15:01.8,
1924,Paris,4,John Romig,United States,15:12.4,
1924,Paris,5,Eino Seppälä,Finland,15:18.4,
1924,Paris,6,Charles Clibbon,Great Britain,15:29.0,
1924,Paris,7,Lucien Dolques,France,15:32.6,
1924,Paris,8,Axel Eriksson,Sweden,15:38.0,
1924,Paris,9,Léonard Mascaux,France,15:39.0,
1924,Paris,10,Frank Saunders,Great Britain,15:54.0,
1924,Paris,11,Eino Rastas,Finland,,
1924,Paris,12,Katsuo Okazaki,Japan,,
1928,Amsterdam,1,Ville Ritola,Finland,14:38.0,
1928,Amsterdam,2,Paavo Nurmi,Finland,14:40.0,
1928,Amsterdam,3,Edvin Wide,Sweden,14:41.2,
1928,Amsterdam,4,Leo Lermond,United States,14:50.0,
1928,Amsterdam,5,Ragnar Magnusson,Sweden,14:59.6,
1928,Amsterdam,6,Armas Kinnunen,Finland,15:02.0,
1928,Amsterdam,7,Staņislavs Petkēvičs,Latvia,,
1928,Amsterdam,8,Herbert Johnston,Great Britain,,
1928,Amsterdam,9,Brian Oddie,Great Britain,,
1928,Amsterdam,10,Macauley Smith,United States,,
1928,Amsterdam,—,Nils Eklöf,Sweden,DNF,
1932,Los Angeles,1,Lauri Lehtinen,Finland,14:30.0,OR
1932,Los Angeles,2,Ralph Hill,United States,14:30.0,
1932,Los Angeles,3,Lauri Virtanen,Finland,14:44.0,
1932,Los Angeles,4,Billy Savidan,New Zealand,14:49.6,
1932,Los Angeles,5,Jean-Gunnar Lindgren,Sweden,14:54:7,
1932,Los Angeles,6,Max Syring,Germany,14:59.0,
1932,Los Angeles,7,Alec Burns,Great Britain,15:04.4,
1932,Los Angeles,8,Daniel Dean,United States,15:08.5,
1932,Los Angeles,9,Erik Pettersson,Sweden,15:13.4,
1932,Los Angeles,10,Alex Hillhouse,Australia,15:15.0,
1932,Los Angeles,11,Scotty Rankine,Canada,15:24.0,
1932,Los Angeles,12,Shoichiro Takenaka,Japan,17:20.0,
1932,Los Angeles,—,Paul Rekers,United States,DNF,
1936,Berlin,1,Gunnar Höckert,Finland,14:22.2,OR
1936,Berlin,2,Lauri Lehtinen,Finland,14:25.8,
1936,Berlin,3,Henry Jonsson,Sweden,14:29.0,
1936,Berlin,4,Kohei Murakoso,Japan,14:30.0,
