Name,Club,Games,Turnovers,Handling Errors,Penalties Conceded,Yellow Cards,Red Cards,Tackles,Missed Tackles,Ineffective Tackles,Tackle Efficiency %,Pilfers,Forced Penalties,Forced Ruck & Maul Penalties
Hyron Andrews,SHA,7,1,1,3,0,0,41,4,2,87,0,0,0
Craig Burden,SHA,7,3,1,5,0,0,11,1,2,78,0,0,0
Jock Campbell,RED,7,5,4,0,0,0,17,6,3,65,0,0,0
Matt Duffie,BLU,7,6,6,3,0,0,11,2,2,73,0,0,0
Andre Esterhuizen,SHA,7,6,5,1,0,0,52,6,7,80,0,2,2
TJ Faiane,BLU,7,3,2,3,0,0,46,2,7,83,0,0,0
Aphelele Fassi,SHA,7,9,10,4,1,0,23,10,4,62,0,0,0
Isaac Lucas,RED,7,1,0,0,0,0,12,4,1,70,0,0,0
Alex Mafi,RED,7,7,3,3,0,0,60,6,3,86,0,1,1
Sione Mafileo,BLU,7,1,1,5,0,0,24,2,0,92,0,0,0
Tate McDermott,RED,7,2,1,1,0,0,20,3,4,74,0,0,0
Ox Nche,SHA,7,1,2,5,0,0,35,3,1,89,0,1,1
Sam Nock,BLU,7,1,0,1,0,0,19,3,4,73,0,0,0
Sanele Nohamba,SHA,7,6,4,0,0,0,11,3,3,64,0,0,0
Sikhumbuzo Notshe,SHA,7,6,5,3,0,0,58,4,4,87,0,1,1
Stephen Perofeta,BLU,7,4,6,1,0,0,21,10,3,61,0,0,0
Harry Plummer,BLU,7,2,2,0,0,0,12,4,0,75,0,0,0
Le Roux Roets,SHA,7,1,1,1,0,0,9,1,1,81,0,0,0
Jonathan Ruru,BLU,7,4,6,3,1,0,25,3,4,78,0,0,0
Lukhan Salakaia-Loto,RED,7,2,2,6,0,0,38,10,1,77,0,0,0
Louis Schreuder,SHA,7,1,2,4,0,0,17,5,1,73,0,0,0
Henry Speight,RED,7,5,4,3,0,0,37,11,2,74,0,0,0
Hamish Stewart,RED,7,3,4,1,0,0,63,7,6,82,0,0,0
Mark Telea,BLU,7,8,6,1,1,0,25,2,2,86,0,1,1
Taniela Tupou,RED,7,4,3,10,1,0,37,7,1,82,0,0,0
Ruben Van Heerden,SHA,7,3,2,3,0,0,45,0,0,100,0,0,0
Kerron van Vuuren,SHA,7,6,5,5,1,0,47,1,2,94,0,0,0
Harry Wilson,RED,7,8,8,4,0,0,51,8,4,80,0,0,0
Liam Wright,RED,7,3,3,5,1,0,88,10,1,88,0,4,4
Naitoa Ah Kuoi,CHI,6,2,1,2,0,0,35,1,3,89,0,0,0
Allan Ala'alatoa,BRU,6,4,4,4,0,0,66,5,1,91,0,0,0
Lukhanyo Am,SHA,6,4,4,6,0,0,25,4,7,69,1,3,3
Vince Aso,HUR,6,2,2,3,0,0,24,5,1,80,0,0,0
Asafo Aumua,HUR,6,3,1,0,0,0,28,7,2,75,0,0,0
Tom Banks,BRU,6,2,2,3,0,0,10,1,1,83,0,0,0
Kurtley Beale,WAR,6,8,8,0,0,0,13,6,1,65,0,0,0
Angus Bell,WAR,6,0,0,5,0,0,38,4,1,88,0,1,1
Angus Blyth,RED,6,2,0,5,0,0,27,8,1,75,0,0,0
Emiliano Boffelli,JAG,6,7,6,0,0,0,12,0,3,80,0,0,0
Curwin Bosch,SHA,6,5,5,2,0,0,7,10,3,35,0,0,0
George Bower,CRU,6,1,1,1,0,0,33,5,0,86,0,0,0
Jaba Bregvadze,SUN,6,2,1,1,0,0,34,9,6,69,0,0,0
Rodrigo Bruni,JAG,6,3,2,3,0,0,53,4,0,92,1,3,3
Jan-Henning Campher,LIO,6,2,1,0,0,0,19,7,2,67,0,0,0
Thomas Christie,CRU,6,1,1,6,0,0,111,3,5,93,0,5,5
Angus Cottrell,REB,6,3,2,4,0,0,35,4,1,87,0,0,0
Jack Dempsey,WAR,6,3,2,7,1,0,39,3,2,88,0,0,0
Murray Douglas,BRU,6,1,1,3,1,0,48,6,1,87,0,0,0
Thomas du Toit,SHA,6,2,2,5,0,0,37,3,1,90,2,1,1
Mitchell Dunshea,CRU,6,4,3,5,0,0,58,11,4,79,0,0,0
Kurt Eklund,BLU,6,3,2,3,0,0,39,5,2,84,0,0,0
Gareth Evans,HUR,6,2,2,3,0,0,48,4,1,90,0,3,3
Tetera Faulkner,WAR,6,0,0,2,0,0,18,0,0,100,0,0,0
Siosaia Fifita,SUN,6,5,4,3,0,0,33,13,6,63,0,1,1
