Name,Club,Games,Conversions,Conversion Attempts,Penalty Goals,Penalty Goal Attempts,Goal Kicking %,Drop Goals,Drop Goal Attempts,Drop Goal %,Points,Kicks,Kick Metres,Kick Errors
Hyron Andrews,SHA,7,0,0,0,0,-,0,0,-,5,0,0,0
Craig Burden,SHA,7,0,0,0,0,-,0,0,-,0,0,0,0
Jock Campbell,RED,7,9,18,3,3,57,0,0,-,32,14,398,2
Matt Duffie,BLU,7,0,0,0,0,-,0,0,-,0,5,84,1
Andre Esterhuizen,SHA,7,0,0,0,0,-,0,0,-,10,9,285,0
TJ Faiane,BLU,7,0,0,0,0,-,0,0,-,0,5,76,1
Aphelele Fassi,SHA,7,0,0,0,0,-,0,0,-,15,29,964,0
Isaac Lucas,RED,7,0,0,0,0,-,0,0,-,10,11,490,0
Alex Mafi,RED,7,0,0,0,0,-,0,0,-,5,0,0,0
Sione Mafileo,BLU,7,0,0,0,0,-,0,0,-,0,0,0,0
Tate McDermott,RED,7,0,0,0,0,-,0,0,-,25,12,258,1
Ox Nche,SHA,7,0,0,0,0,-,0,0,-,0,0,0,0
Sam Nock,BLU,7,0,0,0,0,-,0,0,-,0,11,349,1
Sanele Nohamba,SHA,7,1,2,1,2,50,0,0,-,10,22,430,1
Sikhumbuzo Notshe,SHA,7,0,0,0,0,-,0,0,-,5,1,0,0
Stephen Perofeta,BLU,7,4,8,1,4,41,0,0,-,21,31,1081,2
Harry Plummer,BLU,7,2,3,2,3,66,0,0,-,10,12,318,2
Le Roux Roets,SHA,7,0,0,0,0,-,0,0,-,0,0,0,0
Jonathan Ruru,BLU,7,0,0,0,0,-,0,0,-,0,23,506,2
Lukhan Salakaia-Loto,RED,7,0,0,0,0,-,0,0,-,10,0,0,0
Louis Schreuder,SHA,7,0,0,0,0,-,0,0,-,0,29,573,1
Henry Speight,RED,7,0,0,0,0,-,0,0,-,15,2,51,0
Hamish Stewart,RED,7,0,0,0,0,-,0,0,-,5,8,263,0
Mark Telea,BLU,7,0,0,0,0,-,0,0,-,25,0,0,0
Taniela Tupou,RED,7,0,0,0,0,-,0,0,-,15,0,0,0
Ruben Van Heerden,SHA,7,0,0,0,0,-,0,0,-,0,0,0,0
Kerron van Vuuren,SHA,7,0,0,0,0,-,0,0,-,10,0,0,0
Harry Wilson,RED,7,0,0,0,0,-,0,0,-,10,3,51,1
Liam Wright,RED,7,0,0,0,0,-,0,0,-,15,0,0,0
Naitoa Ah Kuoi,CHI,6,0,0,0,0,-,0,0,-,0,0,0,0
Allan Ala'alatoa,BRU,6,0,0,0,0,-,0,0,-,0,0,0,0
Lukhanyo Am,SHA,6,0,0,0,0,-,0,0,-,5,3,101,0
Vince Aso,HUR,6,0,0,0,0,-,0,0,-,5,3,162,0
Asafo Aumua,HUR,6,0,0,0,0,-,0,0,-,5,0,0,0
Tom Banks,BRU,6,1,1,0,0,100,0,0,-,22,3,95,0
Kurtley Beale,WAR,6,0,2,0,2,0,0,0,-,5,25,996,0
Angus Bell,WAR,6,0,0,0,0,-,0,0,-,5,0,0,0
Angus Blyth,RED,6,0,0,0,0,-,0,0,-,0,0,0,0
Emiliano Boffelli,JAG,6,0,1,0,0,0,0,0,-,15,5,240,0
Curwin Bosch,SHA,6,15,22,16,19,75,1,1,100,86,58,1834,1
George Bower,CRU,6,0,0,0,0,-,0,0,-,0,0,0,0
Jaba Bregvadze,SUN,6,0,0,0,0,-,0,0,-,10,1,29,0
Rodrigo Bruni,JAG,6,0,0,0,0,-,0,0,-,10,1,30,0
Jan-Henning Campher,LIO,6,0,0,0,0,-,0,0,-,0,0,0,0
Thomas Christie,CRU,6,0,0,0,0,-,0,0,-,10,0,0,0
Angus Cottrell,REB,6,0,0,0,0,-,0,0,-,10,0,0,0
Jack Dempsey,WAR,6,0,0,0,0,-,0,0,-,10,2,67,0
Murray Douglas,BRU,6,0,0,0,0,-,0,0,-,0,0,0,0
Thomas du Toit,SHA,6,0,0,0,0,-,0,0,-,0,0,0,0
Mitchell Dunshea,CRU,6,0,0,0,0,-,0,0,-,0,0,0,0
Kurt Eklund,BLU,6,0,0,0,0,-,0,0,-,0,0,0,0
Gareth Evans,HUR,6,0,0,0,0,-,0,0,-,5,1,2,0
Tetera Faulkner,WAR,6,0,0,0,0,-,0,0,-,5,0,0,0
Siosaia Fifita,SUN,6,0,0,0,0,-,0,0,-,10,1,28,0
Vaea Fifita,HUR,6,0,0,0,0,-,0,0,-,0,1,26,0
Damien Fitzpatrick,WAR,6,0,0,0,0,-,0,0,-,0,0,0,0
Devan Flanders,HUR,6,0,0,0,0,-,0,0,-,0,0,0,0
Lalakai Foketi,WAR,6,0,0,0,0,-,0,0,-,5,2,31,0
Warrick Gelant,BUL,6,0,0,0,0,-,0,0,-,15,29,1202,1
Blake Gibson,BLU,6,0,0,0,0,-,0,0,-,5,1,19,0
Lizo Gqoboka,BUL,6,0,0,0,0,-,0,0,-,0,0,0,0
Cullen Grace,CRU,6,0,0,0,0,-,0,0,-,0,0,0,0
Tyrone Green,LIO,6,0,0,0,0,-,0,0,-,10,3,109,0
Richard Hardwick,REB,6,0,0,0,0,-,0,0,-,5,0,0,0
Will Harrison,WAR,6,10,13,3,5,72,0,0,-,29,38,1078,2
Dane Haylett-Petty,REB,6,0,0,0,0,-,0,0,-,15,25,1073,1
Ross Haylett-Petty,REB,6,0,0,0,0,-,0,0,-,0,0,0,0
Bryce Hegarty,RED,6,10,13,4,5,77,0,0,-,37,13,419,0
Wiehahn Herbst,BUL,6,0,0,0,0,-,0,0,-,0,0,0,0
Jed Holloway,WAR,6,0,0,0,0,-,0,0,-,0,0,0,0
Michael Hooper,WAR,6,0,0,0,0,-,0,0,-,0,1,9,0
Karmichael Hunt,WAR,6,0,0,0,0,-,0,0,-,0,7,85,0
Pieter Jansen,LIO,6,0,0,0,0,-,0,0,-,0,0,0,0
Elton Jantjies,LIO,6,8,13,7,9,68,0,0,-,42,49,1793,0
Solomone Kata,BRU,6,0,0,0,0,-,0,0,-,25,1,10,0
Andrew Kellaway,REB,6,0,0,0,0,-,0,0,-,35,5,138,1
Du'Plessis Kirifi,HUR,6,0,0,0,0,-,0,0,-,0,0,0,0
Steven Kitshoff,STO,6,0,0,0,0,-,0,0,-,5,0,0,0
Marika Koroibete,REB,6,0,0,0,0,-,0,0,-,10,2,60,0
Johnny Kotze,BUL,6,0,0,0,0,-,0,0,-,0,2,15,1
Marcos Kremer,JAG,6,0,0,0,0,-,0,0,-,5,0,0,0
Daniel Kriel,LIO,6,0,0,0,0,-,0,0,-,10,1,27,0
Tevita Kuridrani,BRU,6,0,0,0,0,-,0,0,-,5,3,59,1
Ben Lam,HUR,6,0,0,0,0,-,0,0,-,25,3,65,1
Ngani Laumape,HUR,6,0,0,0,0,-,0,0,-,10,8,178,0
Rob Leota,REB,6,0,0,0,0,-,0,0,-,0,0,0,0
Dillyn Leyds,STO,6,0,1,0,0,0,0,0,-,0,8,357,0
Tomas Lezana,JAG,6,0,0,0,0,-,0,0,-,0,2,29,0
Noah Lolesio,BRU,6,13,22,1,1,60,1,1,100,32,34,953,4
Ryan Lonergan,BRU,6,7,7,1,1,100,0,0,-,22,15,456,0
Wilco Louw,STO,6,0,0,0,0,-,0,0,-,0,0,0,0
Jack Maddocks,WAR,6,0,0,0,0,-,0,0,-,0,11,524,0
Frans Malherbe,STO,6,0,0,0,0,-,0,0,-,0,0,0,0
Makazole Mapimpi,SHA,6,0,0,0,0,-,0,0,-,25,3,85,0
Joe Marchant,BLU,6,0,0,0,0,-,0,0,-,15,3,73,0
Len Massyn,LIO,6,0,0,0,0,-,0,0,-,0,1,35,0
Connal McInerney,BRU,6,0,0,0,0,-,0,0,-,0,0,0,0
Bill Meakes,REB,6,0,0,0,0,-,0,0,-,5,2,53,0
John-Hubert Meyer,SHA,6,0,0,0,0,-,0,0,-,0,0,0,0
Will Miller,BRU,6,0,0,0,0,-,0,0,-,5,0,0,0
Domingo Miotti,JAG,6,13,14,5,6,90,0,1,0,46,47,1509,0
Salmaan Moerat,STO,6,0,0,0,0,-,0,0,-,0,0,0,0
Julian Montoya,JAG,6,0,0,0,0,-,0,0,-,15,0,0,0
Keisuke Moriya,SUN,6,0,1,0,0,0,0,0,-,5,15,417,1
Matias Moroni,JAG,6,0,0,0,0,-,0,0,-,15,4,63,0
Isireli Naisarani,REB,6,0,0,0,0,-,0,0,-,10,0,0,0
Alex Nankivell,CHI,6,0,0,0,0,-,0,0,-,0,2,71,1
Ruhan Nel,STO,6,0,0,0,0,-,0,0,-,10,2,70,0
Cadeyrn Neville,BRU,6,0,0,0,0,-,0,0,-,5,0,0,0
Alex Newsome,WAR,6,0,0,0,0,-,0,0,-,5,3,103,0
Ruan Nortje,BUL,6,0,0,0,0,-,0,0,-,0,0,0,0
Scarra Ntubeni,STO,6,0,0,0,0,-,0,0,-,5,0,0,0
Trevor Nyakane,BUL,6,0,0,0,0,-,0,0,-,0,0,0,0
James O'Connor,RED,6,0,0,0,0,-,0,0,-,5,34,1240,2
Marvin Orie,LIO,6,0,0,0,0,-,0,0,-,0,0,0,0
Cameron Orr,REB,6,0,0,0,0,-,0,0,-,0,0,0,0
Hunter Paisami,RED,6,0,0,0,0,-,0,0,-,5,3,85,0
Dalton Papali'i,BLU,6,0,0,0,0,-,0,0,-,5,0,0,0
Embrose Papier,BUL,6,0,0,0,0,-,0,1,0,5,15,397,2
Tyler Paul,SHA,6,0,0,0,0,-,0,0,-,5,1,8,0
Lucas Paulos,JAG,6,0,0,0,0,-,0,0,-,0,0,0,0
TJ Perenara,HUR,6,0,0,0,0,-,0,0,-,5,28,645,2
Sergeal Petersen,STO,6,0,0,0,0,-,0,0,-,15,5,57,1
Guido Petti,JAG,6,0,0,0,0,-,0,0,-,5,0,0,0
Matt Philip,REB,6,0,0,0,0,-,0,0,-,0,1,23,0
Joe Powell,BRU,6,0,0,0,0,-,0,0,-,10,21,553,1
Anaru Rangi,REB,6,0,0,0,0,-,0,0,-,15,0,0,0
Sevu Reece,CRU,6,0,0,0,0,-,0,0,-,20,4,119,0
Jamie Roberts,STO,6,0,0,0,0,-,0,0,-,0,1,58,0
Tom Robinson,BLU,6,0,0,0,0,-,0,0,-,5,0,0,0
Luke Romano,CRU,6,0,0,0,0,-,0,0,-,10,0,0,0
Aiden Ross,CHI,6,0,0,0,0,-,0,0,-,5,0,0,0
Carlu Sadie,LIO,6,0,0,0,0,-,0,0,-,0,0,0,0
Naoto Saito,SUN,6,0,0,0,0,-,0,0,-,0,5,145,0
Peter Samu,BRU,6,0,0,0,0,-,0,0,-,10,0,0,0
Tom Sanders,CRU,6,0,0,0,0,-,0,0,-,0,0,0,0
Jake Schatz,SUN,6,0,0,0,0,-,0,0,-,0,0,0,0
Marnus Schoeman,LIO,6,0,0,0,0,-,0,0,-,15,0,0,0
Joel Sclavi,JAG,6,0,0,0,0,-,0,0,-,0,0,0,0
Angus Scott-Young,RED,6,0,0,0,0,-,0,0,-,0,0,0,0
Seabelo Senatla,STO,6,0,0,0,0,-,0,0,-,5,8,164,2
Sithembiso Sithole,LIO,6,0,0,0,0,-,0,0,-,5,0,0,0
James Slipper,BRU,6,0,0,0,0,-,0,0,-,0,0,0,0
Dylan Smith,LIO,6,0,0,0,0,-,0,0,-,0,0,0,0
Fletcher Smith,HUR,6,6,9,0,0,66,0,0,-,17,11,442,0
Jean-Pierre Smith,RED,6,0,0,0,0,-,0,0,-,0,0,0,0
Hoskins Sotutu,BLU,6,0,0,0,0,-,0,0,-,5,2,41,0
Rosko Specman,BUL,6,0,0,0,0,-,0,0,-,20,7,226,0
Tom Staniforth,WAR,6,0,0,0,0,-,0,0,-,0,0,0,0
Morne Steyn,BUL,6,4,6,8,9,80,1,2,50,40,34,1171,0
Michael Stolberg,SUN,6,0,0,0,0,-,0,0,-,10,1,23,0
Joshua Strauss,BUL,6,0,0,0,0,-,0,0,-,0,0,0,0
Lachlan Swinton,WAR,6,0,0,0,0,-,0,0,-,5,0,0,0
Samisoni Taukei'aho,CHI,6,0,0,0,0,-,0,0,-,10,0,0,0
Karl Tu'inukuafe,BLU,6,0,0,0,0,-,0,0,-,5,0,0,0
Patrick Tuipulotu,BLU,6,0,0,0,0,-,0,0,-,5,0,0,0
Ofa Tu'ungafasi,BLU,6,0,0,0,0,-,0,0,-,0,0,0,0
Rob Valetini,BRU,6,0,0,0,0,-,0,0,-,5,0,0,0
Morne van den Berg,LIO,6,0,0,0,0,-,0,0,-,0,5,64,2
Wilhelm van der Sluys,LIO,6,0,0,0,0,-,0,0,-,0,0,0,0
Ernst Van Rhyn,STO,6,0,0,0,0,-,0,0,-,0,0,0,0
Conraad Van Vuuren,SUN,6,0,0,0,0,-,0,0,-,0,0,0,0
Hencus van Wyk,SUN,6,0,0,0,0,-,0,0,-,0,0,0,0
Ivan van Zyl,BUL,6,0,0,0,0,-,0,0,-,0,11,271,0
Henco Venter,SHA,6,0,0,0,0,-,0,0,-,0,0,0,0
James Venter,SHA,6,0,0,0,0,-,0,0,-,5,0,0,0
Jaco Visagie,BUL,6,0,0,0,0,-,0,0,-,5,0,0,0
Mayco Vivas,JAG,6,0,0,0,0,-,0,0,-,0,0,0,0
Michael Wells,REB,6,0,0,0,0,-,0,0,-,0,0,0,0
Damian Willemse,STO,6,9,14,6,9,65,0,0,-,41,41,1360,1
Kotaro Yatabe,SUN,6,0,0,0,0,-,0,0,-,0,0,0,0
Robbie Abel,WAR,5,0,0,0,0,-,0,0,-,0,0,0,0
Jarred Adams,SUN,5,0,0,0,0,-,0,0,-,0,0,0,0
Jermaine Ainsley,REB,5,0,0,0,0,-,0,0,-,0,0,0,0
Michael Ala'alatoa,CRU,5,0,0,0,0,-,0,0,-,0,0,0,0
Solomon Alaimalo,CHI,5,0,0,0,0,-,0,0,-,20,2,72,0
Garth April,SUN,5,8,11,1,1,75,0,0,-,34,29,925,3
Juarno Augustus,STO,5,0,0,0,0,-,0,0,-,10,0,0,0
Jordie Barrett,HUR,5,9,10,8,11,80,0,1,0,42,40,1502,1
Te Ariki Ben-Nicholas,HIG,5,0,0,0,0,-,0,0,-,5,0,0,0
James Blackwell,HUR,5,0,0,0,0,-,0,0,-,0,0,0,0
Jamie Booth,HUR,5,0,0,0,0,-,0,0,-,5,10,181,2
Lachlan Boshier,CHI,5,0,0,0,0,-,0,0,-,15,0,0,0
George Bridge,CRU,5,0,0,0,0,-,0,0,-,15,3,79,0
Mitchell Brown,CHI,5,0,0,0,0,-,0,0,-,0,1,13,0
Brett Cameron,CRU,5,5,5,0,0,100,0,0,-,10,5,180,1
Sam Cane,CHI,5,0,0,0,0,-,0,0,-,0,0,0,0
Santiago Chocobares,JAG,5,0,0,0,0,-,0,0,-,0,0,0,0
Andries Coetzee,LIO,5,1,1,0,0,100,0,0,-,7,10,484,0
Jaco Coetzee,STO,5,0,0,0,0,-,0,0,-,0,0,0,0
Mike Collins,HIG,5,0,0,0,0,-,0,0,-,10,8,158,1
Liam Coltman,HIG,5,0,0,0,0,-,0,0,-,0,0,0,0
Aaron Cruden,CHI,5,8,11,5,6,76,1,1,100,39,22,718,0
James Dargaville,SUN,5,0,0,0,0,-,0,0,-,5,5,144,0
Hacjivah Dayimani,LIO,5,0,0,0,0,-,0,0,-,0,1,0,0
Ash Dixon,HIG,5,0,0,0,0,-,0,0,-,0,0,0,0
Justin Downey,SUN,5,0,0,0,0,-,0,0,-,0,0,0,0
Mitchell Drummond,CRU,5,1,1,0,0,100,0,0,-,2,12,255,0
Jean-Luc du Plessis,STO,5,1,1,0,0,100,0,0,-,2,8,256,0
Johan du Toit,STO,5,0,0,0,0,-,0,0,-,0,0,0,0
Pieter-Steph du Toit,STO,5,0,0,0,0,-,0,0,-,0,0,0,0
JJ Engelbrecht,SUN,5,0,0,0,0,-,0,0,-,0,2,28,0
Braydon Ennor,CRU,5,0,0,0,0,-,0,0,-,20,4,44,1
Leicester Fainga'anuku,CRU,5,0,0,0,0,-,0,0,-,10,3,91,0
