|   Year | Africa   | Asia   |   Europe | North America   | Oceania   | Other   | South America   |
|-------:|:---------|:-------|---------:|:----------------|:----------|:--------|:----------------|
|   1896 | -        | -      |        3 | -               | -         | -       | -               |
|   1900 | -        | -      |        4 | 1               | -         | -       | -               |
|   1904 | -        | -      |        1 | 2               | -         | -       | -               |
|   1908 | 1        | -      |       12 | 13              | -         | -       | -               |
|   1912 | 2        | -      |       19 | 13              | -         | -       | -               |
|   1920 | -        | 5      |       22 | 6               | 1         | -       | 1               |
|   1924 | 1        | 1      |       20 | 7               | -         | -       | 1               |
|   1928 | 1        | 3      |       39 | 13              | -         | -       | 1               |
|   1932 | -        | 3      |        8 | 6               | -         | -       | 3               |
|   1936 | 3        | 4      |       29 | 3               | -         | -       | 3               |
|   1948 | 2        | 3      |       15 | 6               | -         | -       | 4               |
|   1952 | 4        | 6      |       33 | 5               | 2         | -       | 3               |
|   1956 | 4        | 8      |       16 | 2               | 3         | -       | -               |
|   1960 | 9        | 10     |       30 | 4               | 5         | -       | 4               |
|   1964 | 11       | 11     |       23 | 6               | 6         | -       | 1               |
|   1968 | 11       | 11     |       20 | 8               | 4         | -       | 3               |
|   1972 | 6        | 7      |       29 | 9               | 4         | -       | 7               |
|   1976 | -        | 11     |       28 | 14              | 4         | -       | 3               |
|   1980 | 15       | 8      |       25 | 1               | 2         | -       | 2               |
|   1984 | 22       | 19     |       46 | 20              | 7         | -       | 8               |
|   1988 | 36       | 26     |       50 | 30              | 15        | -       | 5               |
|   1992 | 28       | 21     |       42 | 15              | 6         | 3       | 9               |
|   1996 | 32       | 29     |       63 | 25              | 8         | -       | 18              |
|   2000 | 29       | 24     |       43 | 10              | 7         | 2       | 11              |
|   2004 | 25       | 34     |       57 | 16              | 7         | -       | 8               |
|   2008 | 28       | 31     |       57 | 13              | 6         | -       | 10              |
|   2012 | 35       | 39     |       77 | 15              | 7         | 1       | 18              |
|   2016 | 45       | 68     |       92 | 20              | 6         | 1       | 40              |
|   2020 | 26       | 26     |       57 | 18              | 8         | 1       | 12              |
